OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,x,y
34317,2016,BMW,M4,2DR,SIL,0,Sat,Y,Old Barrhaven West,BARRHAVEN,Sector 16,8/12/2018 4:00:00 AM,8/11/2018 4:00:00 AM,2018,362582.871486255,5015422.43441752
34318,2005,CHEV,CAV,4DR,WHI,2500,Tue,Y,Old Barrhaven West,BARRHAVEN,Sector 16,5/22/2018 4:00:00 AM,5/22/2018 4:00:00 AM,2018,362810.872193032,5015412.43440878
34319,2014,FORD,F15,PICKUP,WHI,0,Sun,Y,Old Barrhaven West,BARRHAVEN,Sector 16,3/12/2018 4:00:00 AM,3/11/2018 5:00:00 AM,2018,363044.875238831,5016327.44327515
34320,2013,HYUN,SAN,CARRY,GRY,0,Sun,N,Old Barrhaven West,BARRHAVEN,Sector 16,3/12/2018 4:00:00 AM,3/12/2018 4:00:00 AM,2018,363411.878163491,5016324.44322192
34321,2018,HOND,RID,PICKUP,SIL,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,11/29/2019 5:00:00 AM,11/29/2019 5:00:00 AM,2019,362173.867400134,5014413.42471944
34322,2008,NISS,ALT,4DR,RED,0,Mon,Y,Old Barrhaven West,BARRHAVEN,Sector 16,3/11/2019 4:00:00 AM,3/11/2019 4:00:00 AM,2019,363155.875157372,5015464.43550646
34323,2016,LEXS,350,CARRY,WHI,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,12/6/2019 5:00:00 AM,12/5/2019 5:00:00 AM,2019,361789.866414293,5015171.43146647
34324,2018,HOND,ULX,4DR,BLK,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,12/6/2019 5:00:00 AM,12/6/2019 5:00:00 AM,2019,362414.869238466,5014625.4265758
34325,2017,HOND,CRV,CARRY,DGR,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,11/29/2019 5:00:00 AM,11/29/2019 5:00:00 AM,2019,361565.459518512,5014661.40657218
34326,2007,TOYT,RAV,CARRY,GRY,0,Sat,N,Old Barrhaven West,BARRHAVEN,Sector 16,12/20/2020 5:00:00 AM,12/19/2020 5:00:00 AM,2020,363250.876298346,5016167.44139722
34327,2019,KIA,RIO,4DR,BLK,0,Sat,Y,Old Barrhaven West,BARRHAVEN,Sector 16,12/12/2020 5:00:00 AM,12/12/2020 5:00:00 AM,2020,363080.876348105,5016731.44616868
34328,2017,LEXS,NA,CARRY,BLK,0,Mon,N,Old Barrhaven West,BARRHAVEN,Sector 16,10/13/2020 4:00:00 AM,10/12/2020 4:00:00 AM,2020,361766.86558075,5015088.4306858
34329,2020,LEXS,GS45,CARRY,BGE,0,Mon,N,Old Barrhaven West,BARRHAVEN,Sector 16,10/13/2020 4:00:00 AM,10/13/2020 4:00:00 AM,2020,361977.867484325,5014968.42959659
34330,2015,DODG,V15,PICKUP,BLK,0,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,7/30/2020 4:00:00 AM,7/30/2020 4:00:00 AM,2020,363044.875238831,5016327.44327515
34331,0,LEXS,DZG,CARRY,BLK,0,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,12/10/2020 5:00:00 AM,12/10/2020 5:00:00 AM,2020,361379.474520812,5014360.59812531
34332,2018,BMW,4XG,2DR,BLK,69288,Thu,N,Old Barrhaven West,BARRHAVEN,Sector 16,6/26/2020 4:00:00 AM,6/26/2020 4:00:00 AM,2020,361874.420542342,5013827.2557824
34333,2020,HYUN,SAN,CARRY,BLK,30000,Tue,Y,Old Barrhaven West,BARRHAVEN,Sector 16,11/23/2021 5:00:00 AM,11/23/2021 5:00:00 AM,2021,363250.876298346,5016167.44139722
34334,2019,SUBA,CRO,CARRY,BLU,35000,Tue,Y,Old Barrhaven West,BARRHAVEN,Sector 16,1/27/2021 5:00:00 AM,1/27/2021 5:00:00 AM,2021,363155.875157372,5015464.43550646
34335,2017,HYUN,SFT,CARRY,WHI,0,Wed,Y,Old Barrhaven West,BARRHAVEN,Sector 16,11/24/2021 5:00:00 AM,11/24/2021 5:00:00 AM,2021,363303.87625867,5015572.43654925
34336,2018,TOYT,HIG,CARRY,BLU,0,Mon,N,Old Barrhaven West,BARRHAVEN,Sector 16,12/20/2021 5:00:00 AM,12/20/2021 5:00:00 AM,2021,362980.875267187,5016477.44434998
34337,2019,TOYT,TAC,PICKUP,BLU,0,Mon,Y,Old Barrhaven West,BARRHAVEN,Sector 16,12/20/2021 5:00:00 AM,12/20/2021 5:00:00 AM,2021,361777.866443551,5015652.43551816
34338,0,LEXS,RX5,CARRY,BLK,0,Tue,Y,Old Barrhaven West,BARRHAVEN,Sector 16,8/11/2021 4:00:00 AM,8/11/2021 4:00:00 AM,2021,361137.514694213,5015006.00274877
34339,2021,DODG,R15,PICKUP,BLK,0,Fri,Y,Old Barrhaven West,BARRHAVEN,Sector 16,7/2/2021 4:00:00 AM,7/2/2021 4:00:00 AM,2021,361593.07460308,5014246.96862899
34340,2018,DODG,DUR,CARRY,NA,30000,Wed,N,Old Barrhaven West,BARRHAVEN,Sector 16,6/16/2022 4:00:00 AM,6/16/2022 4:00:00 AM,2022,362578.8703481,5015046.43065066
