"","vehicle_make","vehicle_model","vehicle_year","vehicle_colour","vehicle_value","occurred_date","reported_date","weekday","recovered","year","theft_year"
"1","BMW","M4",2016,"SIL",0,"8/11/2018 4:00:00 AM","8/12/2018 4:00:00 AM","Sat","Y",2018,2018
"2","CHEV","CAV",2005,"WHI",2500,"5/22/2018 4:00:00 AM","5/22/2018 4:00:00 AM","Tue","Y",2018,2018
"3","FORD","F15",2014,"WHI",0,"3/11/2018 5:00:00 AM","3/12/2018 4:00:00 AM","Sun","Y",2018,2018
"4","HYUN","SAN",2013,"GRY",0,"3/12/2018 4:00:00 AM","3/12/2018 4:00:00 AM","Sun","N",2018,2018
"5","HOND","RID",2018,"SIL",0,"11/29/2019 5:00:00 AM","11/29/2019 5:00:00 AM","Thu","N",2019,2019
"6","NISS","ALT",2008,"RED",0,"3/11/2019 4:00:00 AM","3/11/2019 4:00:00 AM","Mon","Y",2019,2019
"7","LEXS","350",2016,"WHI",0,"12/5/2019 5:00:00 AM","12/6/2019 5:00:00 AM","Thu","N",2019,2019
"8","HOND","ULX",2018,"BLK",0,"12/6/2019 5:00:00 AM","12/6/2019 5:00:00 AM","Thu","N",2019,2019
"9","HOND","CRV",2017,"DGR",0,"11/29/2019 5:00:00 AM","11/29/2019 5:00:00 AM","Thu","N",2019,2019
"10","TOYT","RAV",2007,"GRY",0,"12/19/2020 5:00:00 AM","12/20/2020 5:00:00 AM","Sat","N",2020,2020
"11","KIA","RIO",2019,"BLK",0,"12/12/2020 5:00:00 AM","12/12/2020 5:00:00 AM","Sat","Y",2020,2020
"12","LEXS",NA,2017,"BLK",0,"10/12/2020 4:00:00 AM","10/13/2020 4:00:00 AM","Mon","N",2020,2020
"13","LEXS","GS45",2020,"BGE",0,"10/13/2020 4:00:00 AM","10/13/2020 4:00:00 AM","Mon","N",2020,2020
"14","DODG","V15",2015,"BLK",0,"7/30/2020 4:00:00 AM","7/30/2020 4:00:00 AM","Thu","N",2020,2020
"15","LEXS","DZG",0,"BLK",0,"12/10/2020 5:00:00 AM","12/10/2020 5:00:00 AM","Wed","N",2020,2020
"16","BMW","4XG",2018,"BLK",69288,"6/26/2020 4:00:00 AM","6/26/2020 4:00:00 AM","Thu","N",2020,2020
"17","HYUN","SAN",2020,"BLK",30000,"11/23/2021 5:00:00 AM","11/23/2021 5:00:00 AM","Tue","Y",2021,2021
"18","SUBA","CRO",2019,"BLU",35000,"1/27/2021 5:00:00 AM","1/27/2021 5:00:00 AM","Tue","Y",2021,2021
"19","HYUN","SFT",2017,"WHI",0,"11/24/2021 5:00:00 AM","11/24/2021 5:00:00 AM","Wed","Y",2021,2021
"20","TOYT","HIG",2018,"BLU",0,"12/20/2021 5:00:00 AM","12/20/2021 5:00:00 AM","Mon","N",2021,2021
"21","TOYT","TAC",2019,"BLU",0,"12/20/2021 5:00:00 AM","12/20/2021 5:00:00 AM","Mon","Y",2021,2021
"22","LEXS","RX5",0,"BLK",0,"8/11/2021 4:00:00 AM","8/11/2021 4:00:00 AM","Tue","Y",2021,2021
"23","DODG","R15",2021,"BLK",0,"7/2/2021 4:00:00 AM","7/2/2021 4:00:00 AM","Fri","Y",2021,2021
"24","DODG","DUR",2018,NA,30000,"6/16/2022 4:00:00 AM","6/16/2022 4:00:00 AM","Wed","N",2022,2022
"25","HOND","CRV",2021,"BLU",0,"6/14/2022 4:00:00 AM","6/14/2022 4:00:00 AM","Mon","N",2022,2022
"26","JEEP",NA,2021,"BLK",40000,"1/11/2022 5:00:00 AM","1/12/2022 5:00:00 AM","Tue","Y",2022,2022
"27","JEEP","GCH",2020,"RED",0,"1/19/2022 5:00:00 AM","1/19/2022 5:00:00 AM","Wed","N",2022,2022
"28","JEEP",NA,2021,"GRY",0,"4/6/2022 4:00:00 AM","4/6/2022 4:00:00 AM","Wed","N",2022,2022
"29","JEEP",NA,2022,"WHI",40000,"7/13/2022 4:00:00 AM","7/13/2022 4:00:00 AM","Tue","Y",2022,2022
"30","HOND","CRV",2021,"WHI",50000,"9/29/2022 4:00:00 AM","9/29/2022 4:00:00 AM","Thu","N",2022,2022
"31","JEEP","GCK",2020,"BLK",0,"7/13/2022 4:00:00 AM","7/13/2022 4:00:00 AM","Tue","Y",2022,2022
"32","HOND","CRV",2022,"GRY",0,"8/3/2022 4:00:00 AM","8/3/2022 4:00:00 AM","Wed","Y",2022,2022
"33","FORD","CLU",2021,"WHI",60000,"7/27/2022 4:00:00 AM","7/27/2022 4:00:00 AM","Wed","Y",2022,2022
"34","FORD","BRO",2021,"WHI",0,"7/27/2022 4:00:00 AM","7/27/2022 4:00:00 AM","Wed","Y",2022,2022
"35","JEEP","GCH",2020,"BLK",0,"1/19/2022 5:00:00 AM","1/19/2022 5:00:00 AM","Tue","N",2022,2022
"36","TOYT","TAC",2019,"BLU",0,"8/13/2022 4:00:00 AM","8/13/2022 4:00:00 AM","Sat","N",2022,2022
"37","TOYT","TAC",2022,"GRY",55000,"8/13/2022 4:00:00 AM","8/14/2022 4:00:00 AM","Sat","N",2022,2022
"38","JEEP","GCK",2020,"BLK",0,"4/23/2022 4:00:00 AM","4/23/2022 4:00:00 AM","Sat","N",2022,2022
"39","HOND","CRV",2020,"RED",0,"3/1/2022 5:00:00 AM","3/1/2022 5:00:00 AM","Mon","Y",2022,2022
"40","ACUR","RDX",2020,"BLK",40000,"9/24/2022 4:00:00 AM","9/24/2022 4:00:00 AM","Fri","N",2022,2022
"41","HYUN","SON",2012,"SIL",0,"5/21/2022 4:00:00 AM","5/22/2022 4:00:00 AM","Sat","Y",2022,2022
"42","TOYT","HIG",2021,"WHI",0,"10/9/2022 4:00:00 AM","10/9/2022 4:00:00 AM","Sun","N",2022,2022
"43","JEEP","GCH",2020,"RED",0,"1/14/2022 5:00:00 AM","1/14/2022 5:00:00 AM","Thu","Y",2022,2022
"44","TOYT","HIG",2021,"GRY",50000,"8/25/2022 4:00:00 AM","8/25/2022 4:00:00 AM","Thu","Y",2022,2022
"45","LEXS","RX3",2019,"BLK",0,"1/15/2022 5:00:00 AM","1/17/2022 5:00:00 AM","Sat","N",2022,2022
"46",NA,NA,2022,"BLK",0,"5/23/2022 4:00:00 AM","5/23/2022 4:00:00 AM","Mon","Y",2022,2022
"47","RAM","15",2022,"SIL",76000,"12/22/2022 5:00:00 AM","12/22/2022 5:00:00 AM","Wed","N",2022,2022
"48","DODG","DUR",2020,"GRY",0,"1/19/2022 5:00:00 AM","1/19/2022 5:00:00 AM","Wed","Y",2022,2022
"49","TOYT","HIG",2019,"BLK",50000,"6/19/2022 4:00:00 AM","6/19/2022 4:00:00 AM","Sat","N",2022,2022
"50","HOND","PIL",2019,"WHI",0,"6/16/2022 4:00:00 AM","6/16/2022 4:00:00 AM","Wed","N",2022,2022
"51","TOYT","HIG",2019,"BLK",0,"7/2/2022 4:00:00 AM","7/2/2022 4:00:00 AM","Sat","N",2022,2022
"52","HOND","CRV",2020,"WHI",37000,"10/21/2022 4:00:00 AM","10/21/2022 4:00:00 AM","Thu","Y",2022,2022
"53","HOND","CRV",2020,"BLK",45000,"7/31/2022 4:00:00 AM","8/1/2022 4:00:00 AM","Sun","Y",2022,2022
"54","HOND","UDY",2020,"RED",0,"7/15/2022 4:00:00 AM","7/15/2022 4:00:00 AM","Fri","Y",2022,2022
"55","HOND","CRV",2021,"GRY",0,"7/15/2022 4:00:00 AM","7/15/2022 4:00:00 AM","Fri","N",2022,2022
"56","TOYT","HIG",2020,"GRY",0,"10/9/2022 4:00:00 AM","10/9/2022 4:00:00 AM","Sat","N",2022,2022
"57","HOND","UDY",2020,"WHI",0,"7/15/2022 4:00:00 AM","7/15/2022 4:00:00 AM","Fri","Y",2022,2022
"58","TOYT","HIG",2019,"WHI",55000,"9/24/2022 4:00:00 AM","9/24/2022 4:00:00 AM","Fri","Y",2022,2022
"59","HOND",NA,2017,"BLK",18000,"5/5/2022 4:00:00 AM","5/4/2022 4:00:00 AM","Wed","N",2022,2022
"60","HOND","UDY",2020,"GRY",0,"8/16/2022 4:00:00 AM","8/16/2022 4:00:00 AM","Tue","N",2022,2022
"61","INFI","QX6",2014,"SIL",0,"9/1/2022 4:00:00 AM","9/1/2022 4:00:00 AM","Wed","N",2022,2022
"62","LEXS",NA,2019,"GRY",0,"6/27/2022 4:00:00 AM","6/27/2022 4:00:00 AM","Mon","N",2022,2022
"63","TOYT","HIG",2018,"BLU",0,"8/18/2022 4:00:00 AM","8/18/2022 4:00:00 AM","Wed","N",2022,2022
"64","JEEP",NA,2021,"BLK",0,"6/27/2022 4:00:00 AM","6/27/2022 4:00:00 AM","Mon","N",2022,2022
"65","TOYT","TAC",2021,"BLK",60000,"8/6/2022 4:00:00 AM","8/6/2022 4:00:00 AM","Sat","N",2022,2022
"66","TOYT","HIG",2018,"WHI",0,"6/24/2022 4:00:00 AM","6/24/2022 4:00:00 AM","Fri","Y",2022,2022
"67","DODG","DUR",2021,"WHI",30000,"7/15/2022 4:00:00 AM","7/15/2022 4:00:00 AM","Fri","Y",2022,2022
"68","DODG","RPC",2005,"SIL",0,"11/24/2022 5:00:00 AM","11/25/2022 5:00:00 AM","Thu","N",2022,2022
"69","DODG","R15",2021,"BLK",65000,"3/12/2023 5:00:00 AM","3/12/2023 5:00:00 AM","Sun","Y",2023,2023
"70","JEEP",NA,2021,"BLK",0,"2/7/2023 5:00:00 AM","2/7/2023 5:00:00 AM","Tue","Y",2023,2023
"71","RAM","15",2022,"BLK",55000,"3/11/2023 5:00:00 AM","3/12/2023 5:00:00 AM","Sat","N",2023,2023
"72","JEEP",NA,2021,"MRN",47000,"1/17/2023 5:00:00 AM","1/17/2023 5:00:00 AM","Mon","N",2023,2023
"73","JEEP",NA,2020,"BLK",70000,"1/16/2023 5:00:00 AM","1/16/2023 5:00:00 AM","Mon","Y",2023,2023
"74","JEEP","WRG",2019,"WHI",80000,"1/23/2023 5:00:00 AM","1/23/2023 5:00:00 AM","Mon","Y",2023,2023
"75","JEEP",NA,2021,"WHI",66000,"2/7/2023 5:00:00 AM","2/7/2023 5:00:00 AM","Tue","N",2023,2023
"76","TOYT",NA,2020,"GRY",0,"5/4/2023 4:00:00 AM","5/4/2023 4:00:00 AM","Thu","N",2023,2023
"77","TOYT","GZG",2021,"BLK",50000,"5/3/2023 4:00:00 AM","5/3/2023 4:00:00 AM","Wed","Y",2023,2023
"78","CHRY","PAC",2018,"BLU",0,"8/29/2018 4:00:00 AM","8/29/2018 4:00:00 AM","Wed","Y",2018,2018
"79","NISS",NA,2011,"BLK",0,"12/2/2018 5:00:00 AM","12/26/2018 5:00:00 AM","Sun","Y",2018,2018
"80","TOYT","YAR",2006,"BLU",0,"5/30/2018 4:00:00 AM","5/30/2018 4:00:00 AM","Tue","Y",2018,2018
"81","PONT","VIB",2009,"BLK",4000,"8/16/2018 4:00:00 AM","8/16/2018 4:00:00 AM","Thu","Y",2018,2018
"82","BMW","35I",2007,"GRY",0,"6/6/2018 4:00:00 AM","6/9/2018 4:00:00 AM","Tue","Y",2018,2018
"83","VOLK","GTI",2011,"GRY",0,"5/29/2018 4:00:00 AM","5/29/2018 4:00:00 AM","Mon","N",2018,2018
"84","LEXS","NX30",2018,"GRY",0,"7/26/2019 4:00:00 AM","7/26/2019 4:00:00 AM","Thu","Y",2019,2019
"85","HOND","CRV",2011,"GRY",0,"10/28/2019 4:00:00 AM","10/29/2019 4:00:00 AM","Mon","Y",2019,2019
"86","HYUN","EST",2003,"RED",0,"1/4/2019 5:00:00 AM","1/9/2019 5:00:00 AM","Fri","Y",2019,2019
"87","TOYT","HIG",2018,"WHI",46000,"7/14/2019 4:00:00 AM","7/14/2019 4:00:00 AM","Sat","N",2019,2019
"88","TOYT","HIG",2014,"WHI",29498,"7/8/2019 4:00:00 AM","7/8/2019 4:00:00 AM","Mon","N",2019,2019
"89","LEXS","NX30",2018,"GRY",0,"12/11/2020 5:00:00 AM","12/11/2020 5:00:00 AM","Thu","N",2020,2020
"90","CHEV",NA,2007,"DGR",0,"1/21/2020 5:00:00 AM","1/21/2020 5:00:00 AM","Tue","Y",2020,2020
